Title,Platform,EmulationStatus
The Incredibles,Switch,POOR/NONE
Animal Crossing: New Horizons,Switch,POOR/NONE
Railway Empire 2,Switch,POOR/NONE
Mass Effect (Xbox),Xbox,GOOD
Halo Infinite? (mislabel-check),Xbox,GOOD
Panzer Elite Action,Xbox,GOOD
Conflict: Desert Storm II,Xbox,GOOD
Colin McRae Rally 04,Xbox,GOOD
Battlefield 2: Modern Combat,Xbox,GOOD
Halo,Xbox,GOOD
Halo 2,Xbox,GOOD
Medal of Honor: Rising Sun,Xbox,GOOD
GUN,Xbox,GOOD
LOTR: Les Deux Tours (Xbox),Xbox,GOOD
BloodRayne,Xbox,GOOD
Project: Snowblind,Xbox,GOOD
Burnout Revenge (Xbox),Xbox,GOOD
Black (Xbox),Xbox,GOOD
Freedom Fighters,Xbox,GOOD
Ninja Gaiden Black,Xbox,GOOD
Pro Evolution Soccer 4 (Xbox),Xbox,GOOD
Rainbow Six 3,Xbox,GOOD
Crimson Skies,Xbox,GOOD
Conflict: Vietnam,Xbox,GOOD
TimeSplitters,Xbox,GOOD
Serious Sam,Xbox,GOOD
NHL 06,Xbox,GOOD
GTA San Andreas (Xbox),Xbox,GOOD
Rainbow Six Lockdown,Xbox,GOOD
DTM Race Driver 3,Xbox,GOOD
TOCA Race Driver 2 (Xbox),Xbox,GOOD
Racedriver GRID,Xbox 360,GOOD
F1 2010,Xbox 360,GOOD
PGR3,Xbox 360,GOOD
PURE,Xbox 360,GOOD
Kinect Adventures,Xbox 360,GOOD
Crysis 2 (360),Xbox 360,GOOD
Test Drive Unlimited,Xbox 360,GOOD
Colin McRae: DiRT,Xbox 360,GOOD
Kinect Sports Season 2,Xbox 360,GOOD
Lips,Xbox 360,GOOD
LEGO Movie Videogame,Xbox 360,GOOD
FIFA 06 (360),Xbox 360,GOOD
FIFA 07 (360),Xbox 360,GOOD
FIFA 08 (360),Xbox 360,GOOD
FIFA 09 (360),Xbox 360,GOOD
FIFA 10 (360),Xbox 360,GOOD
FIFA 13 (360),Xbox 360,GOOD
2006 FIFA World Cup,Xbox 360,GOOD
2006 FIFA World Cup (2),Xbox 360,GOOD
2010 FIFA World Cup South Africa,Xbox 360,GOOD
NHL 2K8,Xbox 360,GOOD
NBA 2K8,Xbox 360,GOOD
Forza Motorsport 2,Xbox 360,GOOD
Forza Motorsport 3,Xbox 360,GOOD
Forza Motorsport 4,Xbox 360,GOOD
Forza Motorsport 5,Xbox 360,GOOD
Halo 3,Xbox 360,GOOD
Halo Wars,Xbox 360,GOOD
Halo 4,Xbox 360,GOOD
Halo: Reach,Xbox 360,GOOD
Halo 3: ODST,Xbox 360,GOOD
Halo 5: Guardians,Xbox 360,GOOD
Halo: MCC,Xbox 360,GOOD
Homefront,Xbox 360,GOOD
Bulletstorm,Xbox 360,GOOD
Dishonored (360),Xbox 360,GOOD
Darksiders II,Xbox 360,GOOD
Chromehounds,Xbox 360,GOOD
Kinect Star Wars,Xbox 360,GOOD
Kinectimals,Xbox 360,GOOD
Assassin's Creed (360),Xbox 360,GOOD
Assassin's Creed II (360),Xbox 360,GOOD
Assassin's Creed Brotherhood,Xbox 360,GOOD
Assassin's Creed Revelations,Xbox 360,GOOD
Assassin's Creed III,Xbox 360,GOOD
Diablo III (360),Xbox 360,GOOD
Divinity II,Xbox 360,GOOD
Final Fantasy XIII,Xbox 360,GOOD
Dead Island,Xbox 360,GOOD
Red Dead Redemption (360),Xbox 360,GOOD
SSX,Xbox 360,GOOD
Kinect Disneyland Adventures,Xbox 360,GOOD
Top Spin 2,Xbox 360,GOOD
Top Spin 4,Xbox 360,GOOD
Banjo-Kazooie: Nuts & Bolts,Xbox 360,GOOD
Fable: The Journey,Xbox 360,GOOD
Zoo Tycoon,Xbox 360,GOOD
Minecraft (360),Xbox 360,GOOD
Medal of Honor,Xbox 360,GOOD
Medal of Honor: Warfighter,Xbox 360,GOOD
Narnia: Prince Caspian,Xbox 360,GOOD
Fallout: New Vegas,Xbox 360,GOOD
Gears of War,Xbox 360,GOOD
Gears of War 2,Xbox 360,GOOD
Gears of War 3,Xbox 360,GOOD
Just Dance Disney Party 2 (360),Xbox 360,GOOD
Sniper: Ghost Warrior,Xbox 360,GOOD
Sniper: Ghost Warrior 2,Xbox 360,GOOD
Far Cry 2 (360),Xbox 360,GOOD
Far Cry 3 (360),Xbox 360,GOOD
Far Cry Instincts Predator,Xbox 360,GOOD
GRID (360),Xbox 360,GOOD
Shadow of War,Xbox 360,GOOD
Deus Ex: Mankind Divided,Xbox 360,GOOD
F1 2017,Xbox 360,GOOD
Ghost Recon Wildlands,Xbox 360,GOOD
DOOM (360),Xbox 360,GOOD
Destiny (360),Xbox 360,GOOD
Watch Dogs (360),Xbox 360,GOOD
Sebastien Loeb Rally Evo,Xbox 360,GOOD
Ryse: Son of Rome? (check),Xbox 360,GOOD
The Division,Xbox 360,GOOD
Dying Light,Xbox 360,GOOD
Rainbow Six Siege (360),Xbox 360,GOOD
Metro Redux,Xbox 360,GOOD
Cyberpunk 2077 (360),Xbox 360,GOOD
F1 2018,Xbox 360,GOOD
F1 2020,Xbox 360,GOOD
Hitman: Complete First Season,Xbox 360,GOOD
Zoo Tycoon (360),Xbox 360,GOOD
Ghost Recon,Xbox 360,GOOD
Super Street Fighter IV,Xbox 360,GOOD
Call of Duty: Modern Warfare 2 (360),Xbox 360,GOOD
Call of Duty: MW3 (360),Xbox 360,GOOD
Lost Planet 2,Xbox 360,GOOD
L.A. Noire,Xbox 360,GOOD
Battlefield 3 (360),Xbox 360,GOOD
LEGO ... (360),Xbox 360,GOOD
Saints Row: The Third,Xbox 360,GOOD
Sleeping Dogs,Xbox 360,GOOD
Road Rash Jailbreak,Xbox 360,GOOD
Assassin's Creed III (Le Monde des Bleus),Xbox 360,GOOD
PGR4,Xbox 360,GOOD
Aliens vs Predator,Xbox 360,GOOD
Mass Effect,Xbox 360,GOOD
Mass Effect 2,Xbox 360,GOOD
Mass Effect 3,Xbox 360,GOOD
Burnout Paradise,Xbox 360,GOOD
Dead Rising,Xbox 360,GOOD
Dead Rising 2,Xbox 360,GOOD
Dark Messiah: Elements,Xbox 360,GOOD
Alone in the Dark,Xbox 360,GOOD
Ghost Recon Advanced Warfighter,Xbox 360,GOOD
Army of Two,Xbox 360,GOOD
Injustice: Gods Among Us (360),Xbox 360,GOOD
Splinter Cell Conviction,Xbox 360,GOOD
Driver: San Francisco,Xbox 360,GOOD
Dark Void,Xbox 360,GOOD
Dark Sector,Xbox 360,GOOD
Singularity,Xbox 360,GOOD
RAGE,Xbox 360,GOOD
BIONICLE Heroes,Xbox 360,GOOD
Battlefield: Bad Company,Xbox 360,GOOD
Dead Space,Xbox 360,GOOD
Brink,Xbox 360,GOOD
SAW,Xbox 360,GOOD
Alone in the Dark: Elements,Xbox 360,GOOD
Army of Two (2),Xbox 360,GOOD
Dark Messiah (2),Xbox 360,GOOD
Zoo Tycoon,Xbox 360,GOOD
F1 2017 (2),Xbox 360,GOOD
Ghost Recon (2),Xbox 360,GOOD
DOOM (2),Xbox 360,GOOD
Destiny (2),Xbox 360,GOOD
Halo 5 (2),Xbox 360,GOOD
SMACKDOWN vs RAW 2009,Xbox 360,GOOD
LEGO Indiana Jones,Xbox 360,GOOD
PURE (360-2),Xbox 360,GOOD
Guitar Hero: Warriors of Rock,Xbox 360,GOOD
Need for Speed: Hot Pursuit,Xbox 360,GOOD
Far Cry 3 (360-2),Xbox 360,GOOD
Batman: The Videogame? (LEGO Batman),Xbox 360,GOOD
Forza Motorsport 6,Xbox One,POOR/NONE
Far Cry New Dawn,Xbox One,POOR/NONE
Project Cars GOTY,Xbox One,POOR/NONE
Far Cry 4 (One),Xbox One,POOR/NONE
Far Cry 5,Xbox One,POOR/NONE
Far Cry Primal,Xbox One,POOR/NONE
Assetto Corsa,Xbox One,POOR/NONE
Gears of War 4,Xbox One,POOR/NONE
Just Dance Disney Party 2 (One),Xbox One,POOR/NONE
Agents of Mayhem,Xbox One,POOR/NONE
FIFA 17 (One),Xbox One,POOR/NONE
Monster Hunter World (One),Xbox One,POOR/NONE
Dragon Ball Xenoverse,Xbox One,POOR/NONE
Watch Dogs (One),Xbox One,POOR/NONE
Battlechasers: Nightwar,Xbox One,POOR/NONE
Avicii Invector,Xbox One,POOR/NONE
Gears 5,Xbox One,POOR/NONE
Forza Motorsport 7,Xbox One,POOR/NONE
F1 Seventy Edition,Xbox One,POOR/NONE
Trackmania Turbo,Xbox One,POOR/NONE
GRID (One),Xbox One,POOR/NONE
L'Ombre de la Guerre,Xbox One,POOR/NONE
Deus Ex: Mankind Divided (One),Xbox One,POOR/NONE
Steep,Xbox One,POOR/NONE
Borderlands 3 (One),Xbox One,POOR/NONE
Forza Motorsport 5 (One),Xbox One,POOR/NONE
Far Cry 2 (One),Xbox One,POOR/NONE
Far Cry 3 (One),Xbox One,POOR/NONE
Far Cry 4 (One-2),Xbox One,POOR/NONE
Sniper Ghost Warrior 2 (One),Xbox One,POOR/NONE
Zoo Tycoon (One),Xbox One,POOR/NONE
F1 2017 (One),Xbox One,POOR/NONE
Ghost Recon Wildlands (One),Xbox One,POOR/NONE
DOOM (One),Xbox One,POOR/NONE
Destiny (One),Xbox One,POOR/NONE
Halo 5 (One),Xbox One,POOR/NONE
Halo: MCC (One),Xbox One,POOR/NONE
Hitman: Complete First Season (One),Xbox One,POOR/NONE
F1 2018 (One),Xbox One,POOR/NONE
F1 2020 (One),Xbox One,POOR/NONE
Watch Dogs (One-2),Xbox One,POOR/NONE
Ryse: Son of Rome,Xbox One,POOR/NONE
The Division (One),Xbox One,POOR/NONE
Dying Light (One),Xbox One,POOR/NONE
Rainbow Six Siege (One),Xbox One,POOR/NONE
Metro Redux (One),Xbox One,POOR/NONE
Cyberpunk 2077 (One),Xbox One,POOR/NONE
Anthem,Xbox One,POOR/NONE
Call of Duty WWII (One),Xbox One,POOR/NONE
Uncharted? (mislabel),Xbox One,POOR/NONE
Rainbow Six Siege (One-2),Xbox One,POOR/NONE
Pro Evolution Soccer 2015 (One),Xbox One,POOR/NONE
Monster Hunter World,Xbox One,POOR/NONE
Watch Dogs,Xbox One,POOR/NONE
Ghost Recon,Xbox One,POOR/NONE
Battlefield: Bad Company 2 (PS3),PS3,HARD
Max Payne 3 (PS3),PS3,HARD
Operation Flashpoint: Dragon Rising,PS3,HARD
Resident Evil 6 (PS3),PS3,HARD
Obut Petanque,PS3,HARD
Racket Sports,PS3,HARD
Resident Evil 5,PS3,HARD
Saints Row 2 (PS3),PS3,HARD
Sports Champions,PS3,HARD
Uncharted 3: L'Illusion de Drake,PS3,HARD
Need for Speed Undercover (PS3),PS3,HARD
Gran Turismo 6,PS3,HARD
Grand Theft Auto IV,PS3,HARD
Haze,PS3,HARD
Heavy Rain Move Edition,PS3,HARD
Avatar: The Game,PS3,HARD
MotorStorm,PS3,HARD
Killzone 3,PS3,HARD
Le Tour de France,PS3,HARD
Medal of Honor (PS3),PS3,HARD
MySims SkyHeroes,PS3,HARD
Assassin's Creed (PS3),PS3,HARD
Battlefield 4 (PS3),PS3,HARD
Battlefield Hardline (PS3),PS3,HARD
Battlefield 3 (PS3),PS3,HARD
Call of Duty: Ghosts,PS3,HARD
Call of Duty: MW3 (PS3),PS3,HARD
Call of Duty: Modern Warfare (PS3),PS3,HARD
Call of Duty: Black Ops,PS3,HARD
Call of Duty: Black Ops II,PS3,HARD
Call of Duty: MW2 (PS3),PS3,HARD
Defiance,PS3,HARD
God of War III: Edition Collector,PS3,HARD
EyePet,PS3,HARD
EyeCreate,PS3,HARD
GTA IV (PS3-2),PS3,HARD
DiRT 2,PS3,HARD
Midnight Club LA,PS3,HARD
Viking: Battle for Asgard,PS3,HARD
Ratchet & Clank: Quest for Booty,PS3,HARD
FIFA 08 (PS3),PS3,HARD
FIFA 09 (PS3),PS3,HARD
Top Spin 4 (PS3),PS3,HARD
Call of Duty: MW3 (PS3-2),PS3,HARD
Call of Duty: Black Ops (PS3-2),PS3,HARD
Call of Duty: Ghosts (PS3-2),PS3,HARD
Pro Evolution Soccer 2010,PS3,HARD
Command & Conquer: Red Alert 3,PS3,HARD
Far Cry 2 (PS3),PS3,HARD
Sniper Ghost Warrior 2 (PS3),PS3,HARD
Call of Duty: Black Ops III,PS3,HARD
Assassin's Creed (PS3-2),PS3,HARD
Red Dead Redemption (PS3),PS3,HARD
Modern Warfare 2 (PS3),PS3,HARD
Modern Warfare 3 (PS3),PS3,HARD
Star Wars Battlefront,PS4,POOR/NONE
Dishonored DE,PS4,POOR/NONE
DOOM (PS4),PS4,POOR/NONE
Final Fantasy XV,PS4,POOR/NONE
Destiny 2 (PS4),PS4,POOR/NONE
Destiny: LA Collection,PS4,POOR/NONE
Toukiden: Kiwami,PS4,POOR/NONE
MotoGP 17,PS4,POOR/NONE
Akiba's Beat,PS4,POOR/NONE
Project Cars 2 (PS4),PS4,POOR/NONE
Project Cars 3,PS4,POOR/NONE
Call of Duty: Infinite Warfare,PS4,POOR/NONE
Call of Duty: WWII (PS4),PS4,POOR/NONE
Rocket League CE,PS4,POOR/NONE
Rayman Legends,PS4,POOR/NONE
Bloodborne,PS4,POOR/NONE
Wolfenstein II,PS4,POOR/NONE
Until Dawn: Rush of Blood,PS4,POOR/NONE
Sniper Elite 4,PS4,POOR/NONE
EVE: Valkyrie,PS4,POOR/NONE
Skyrim (PS4),PS4,POOR/NONE
DriveClub VR,PS4,POOR/NONE
Hitman (PS4),PS4,POOR/NONE
Rise of the Tomb Raider,PS4,POOR/NONE
God of War,PS4,POOR/NONE
Star Wars Squadrons,PS4,POOR/NONE
The Witcher 3,PS4,POOR/NONE
Uncharted: Nathan Drake Collection,PS4,POOR/NONE
FIFA 16,PS4,POOR/NONE
Gran Turismo Sport,PS4,POOR/NONE
The Persistence,PS4,POOR/NONE
Arkpark,PS4,POOR/NONE
Rugby 18,PS4,POOR/NONE
Far Cry 6,PS4,POOR/NONE
Monster Hunter World (PS4),PS4,POOR/NONE
Resident Evil 7,PS4,POOR/NONE
Diablo III (PS4),PS4,POOR/NONE
MXGP2,PS4,POOR/NONE
Sniper Ghost Warrior 3,PS4,POOR/NONE
World War Z,PS4,POOR/NONE
The Last of Us Remastered,PS4,POOR/NONE
Red Dead Redemption II,PS4,POOR/NONE
Days Gone,PS4,POOR/NONE
Prey,PS4,POOR/NONE
Horizon Zero Dawn CE,PS4,POOR/NONE
Railway Empire CE,PS4,POOR/NONE
Anthem (PS4),PS4,POOR/NONE
The Crew,PS4,POOR/NONE
Fallout 76,PS4,POOR/NONE
Destiny (PS4),PS4,POOR/NONE
FIFA 17 (PS4),PS4,POOR/NONE
NBA 2K16,PS4,POOR/NONE
Rainbow Six Siege (PS4),PS4,POOR/NONE
Pro Evolution Soccer 2015 (PS4),PS4,POOR/NONE
Grand Theft Auto V (PS5),PS5,POOR/NONE
NBA 2K22,PS5,POOR/NONE
Hot Wheels Unleashed,PS5,POOR/NONE
Horizon Forbidden West,PS5,POOR/NONE
Tourist Bus Simulator,PS5,POOR/NONE
Metro Exodus,PS5,POOR/NONE
God of War Ragnarok,PS5,POOR/NONE
Wreckfest,PS5,POOR/NONE
FIFA 23,PS5,POOR/NONE
Gran Turismo 7,PS5,POOR/NONE
Call of Duty: Vanguard,PS5,POOR/NONE
Sniper Ghost Warrior Contracts 2,PS5,POOR/NONE
GRID Legends,PS5,POOR/NONE
Rainbow Six Extraction,PS5,POOR/NONE
Chernobylite,PS5,POOR/NONE
World War Z: Aftermath,PS5,POOR/NONE
Trackmania Sunrise,PC,N/A
Rush Rally / Total? (PC),PC,N/A
Turok: Evolution,Xbox,GOOD
Tony Hawk's American Wasteland,Xbox,GOOD
Tony Hawk's Underground,Xbox,GOOD
Tony Hawk's Pro Skater 4,Xbox,GOOD
Hitman: Blood Money (Xbox),Xbox,GOOD
ESPN NBA Basketball,Xbox,GOOD
Scarface: The World Is Yours,Xbox,GOOD
Ski Racing 2005,Xbox,GOOD
NBA Live 2005,Xbox,GOOD
NBA Live 2002,Xbox,GOOD
Hitman: Contracts,Xbox,GOOD
True Crime: New York City,Xbox,GOOD
Fable,Xbox,GOOD
187 Ride or Die,Xbox,GOOD
L.A. Rush,Xbox,GOOD
Need for Speed Underground 2,Xbox,GOOD
EA Sports Fight Night Round 3,Xbox,GOOD
ESPN NHL 2K5,Xbox,GOOD
Max Payne 2,Xbox,GOOD
Project Gotham Racing,Xbox,GOOD
Need for Speed Carbon,Xbox,GOOD
TOCA Race Driver 3,Xbox,GOOD
Racing Evoluzione,Xbox,GOOD
Splinter Cell,Xbox,GOOD
GTA: San Andreas (Xbox-2),Xbox,GOOD
GTA: Vice City (Xbox),Xbox,GOOD
GTA III (Xbox),Xbox,GOOD
Burnout 3: Takedown (Xbox),Xbox,GOOD
FIFA Football 2003 (Xbox),Xbox,GOOD
Titanfall (360),Xbox 360,GOOD
Hunted: Die Schmiede der Finsternis,Xbox 360,GOOD
Halo 3 (360-dup),Xbox 360,GOOD
The Voice: La Plus Belle Voix,Xbox One,POOR/NONE
Cyberpunk 2077: Ultimate Edition,Switch 2,POOR/NONE
Donkey Kong Bananza,Switch 2,POOR/NONE
